Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Encrypt Of Tags,Search and  decryption time on B1,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
131072,7,1.12537e+07,12.8205,10.9261,50.0326,416.246,0.04096,0.02048,0.04096,0,40.8166,406.18,913.377,937.124,
131072,8,1.15414e+07,14.1619,12.4006,51.3127,416.195,0.07168,0.03072,0.04096,0,40.9395,406.303,914.892,941.455,
131072,9,1.18297e+07,15.6058,13.7216,52.7565,416.266,0.02048,0.02048,0,0,41.0112,406.303,916.377,945.705,
131072,10,1.21183e+07,16.9574,15.0835,54.2003,416.205,0.0512,0.0512,0.04096,0,40.919,406.374,917.842,949.883,
131072,11,1.24072e+07,18.3194,16.5069,55.511,416.195,0.0512,0.0512,0.07168,0,40.8781,405.514,918.273,953.098,
131072,12,1.26967e+07,19.6813,17.8995,56.8832,416.256,0.0512,0,0.01024,0,41.0317,406.354,920.587,958.166,
131072,13,1.29864e+07,21.0842,19.1898,58.3066,416.317,0.04096,0,0.02048,0,39.5674,405.709,919.962,960.236,
131072,14,1.32766e+07,22.4666,20.6234,59.5252,416.297,0.04096,0.03072,0.02048,0.01024,40.9293,406.016,922.87,965.96,
131072,15,1.35672e+07,23.9104,21.9648,60.9177,416.369,0.03072,0.04096,0.02048,0,40.9907,406.262,924.631,970.506,
131072,16,1.38583e+07,25.2314,23.337,62.3513,416.358,0.07168,0.04096,0.01024,0,41.0009,405.586,925.419,973.987,
131072,17,1.41499e+07,26.6445,24.7808,63.6518,416.225,0.1024,0.02048,0.03072,0,40.9907,406.989,928.01,979.436,
131072,18,1.44418e+07,28.0371,25.9789,65.1264,416.235,0.07168,0.0512,0.04096,0,40.9702,407.122,929.617,983.634,
131072,19,1.47343e+07,29.4912,27.4637,66.2733,416.276,0.09216,0,0.0512,0.04096,40.9395,406.026,929.699,986.654,
131072,20,1.5027e+07,30.7097,28.8256,67.7376,416.328,0.08192,0.04096,0.03072,0.01024,40.9293,405.729,930.888,990.424,
131072,70,1.533e+07,99.9629,97.6998,135.649,416.399,0.3072,0.11264,0.13312,0.02048,40.7654,406.395,999.782,1197.44,
131072,80,1.56454e+07,113.623,111.36,149.166,416.358,0.23552,0.1536,0.17408,0,40.6426,406.497,1013.23,1238.21,
131072,90,1.59647e+07,127.467,124.928,162.406,416.287,0.33792,0.1536,0.14336,0.01024,40.7245,406.016,1026.08,1278.47,
131072,100,1.62881e+07,141.24,138.742,176.271,416.225,0.33792,0.2048,0.1536,0.02048,40.8064,406.692,1040.71,1320.69,
131072,110,1.66156e+07,154.982,152.545,189.686,416.348,0.39936,0.19456,0.14336,0.02048,40.8269,405.842,1053.46,1360.99,
131072,116,1.69463e+07,163.338,160.747,197.427,416.348,0.39936,0.23552,0.16384,0.04096,40.7347,405.965,1061.31,1385.4,
